ID,age,sex
2167,22.0,M
2168,57.0,M
2169,35.0,M
2171,61.0,F
2172,33.0,F
2173,43.0,M
2175,43.0,M
2177,23.0,M
2178,40.0,M
2179,42.0,F
2183,21.0,M
2184,61.0,M
2185,20.0,F
2186,47.0,M
2187,20.0,M
2188,35.0,F
2189,42.0,F
2190,54.0,F
2191,45.0,M
2192,47.0,M
2193,61.0,M
2194,44.0,F
2195,40.0,M
2197,51.0,F
2198,59.0,F
2199,39.0,M
2201,42.0,F
2202,76.0,M
2203,35.0,M
2204,31.0,M
2205,62.0,M
2208,38.0,F
2209,47.0,F
2211,45.0,M
2212,45.0,F
2213,32.0,M
2215,62.0,M
2216,52.0,M
2219,51.0,F
2220,42.0,F
2221,21.0,F
2222,50.0,M
2224,42.0,F
2225,57.0,M
933,48.0,F
2227,63.0,M
2228,48.0,M
2229,65.0,F
2231,60.0,M
2232,43.0,F
2234,41.0,F
2235,29.0,F
2236,33.0,M
2238,47.0,M
2239,60.0,F
2240,21.0,M
2241,44.0,M
2242,29.0,M
2244,37.0,M
2245,39.0,F
2246,38.0,F
2247,47.0,F
2248,38.0,F
2249,43.0,M
2250,67.0,M
2252,23.0,F
2253,30.0,F
2255,70.0,M
2256,38.0,F
2259,46.0,F
2260,40.0,F
2261,33.0,F
2263,30.0,M
2264,51.0,F
2265,31.0,F
2267,58.0,F
2268,37.0,M
2269,22.0,M
2270,20.0,M
2271,65.0,M
2272,46.0,F
2274,34.0,F
2276,48.0,M
2277,66.0,M
2280,38.0,F
2281,42.0,M
2282,54.0,F
2283,87.0,M
2284,43.0,F
2285,56.0,M
2286,20.0,M
2287,60.0,M
2288,57.0,M
2289,51.0,M
2290,60.0,M
2291,66.0,F
2292,57.0,F
2295,45.0,F
2297,49.0,F
2298,28.0,F
2299,54.0,M
2300,38.0,F
2301,62.0,F
2302,67.0,F
2303,31.0,F
2305,42.0,F
2306,40.0,M
2307,63.0,F
2308,74.0,F
2310,32.0,F
2311,55.0,F
2312,24.0,F
2313,59.0,F
2314,55.0,F
2316,35.0,M
2317,34.0,M
2318,43.0,M
2319,35.0,M
2320,42.0,M
2321,35.0,F
2323,40.0,F
2324,35.0,M
2326,29.0,F
2328,56.0,M
2329,20.0,M
2330,57.0,M
2331,53.0,M
2333,42.0,M
933,48.0,F
2336,51.0,M
2337,55.0,M
2338,37.0,F
2339,44.0,M
2340,72.0,M
2341,52.0,F
2342,35.0,M
2343,26.0,F
2344,44.0,F
2345,32.0,F
2346,26.0,F
2347,20.0,F
2349,27.0,F
2350,64.0,M
